MerchantId,PaymentType,MerchantReferenceId,PhonePeReferenceId,StoreId,StoreName,TerminalId,TerminalName,From,Instrument,CreationDate,TransactionDate,SettlementDate,BankReferenceNo,Amount,Fee,IGST,CGST,SGST
ABFRLVANHEUSEN,PAYMENT,21563-2156303-20230605151207,T2306052042180999061201,21563,Van Heusen - Mg Road,2156303,2156303,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31570999410,18491.000000,0.000000,0.000000,0.000000,0.000000
ABFRLALLENSOLLY,PAYMENT,39649-3964901-20230605093251,T2306051503007586676221,39649,Allen Solly,3964901,3964901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571321681,3598.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63626-6362601-20230605060811,T2306051138183305601660,63626,Peter England,6362601,6362601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,1599.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63626-6362601-20230605140934,T2306051939414992135204,63626,Peter England,6362601,6362601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,2898.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63626-6362601-20230605075100,T2306051321101510872231,63626,Peter England,6362601,6362601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,999.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63927-6392701-20230605124612,T2306051816337681871228,63927,Peter England,6392701,6392701,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,1999.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,13268-1326802-20230605093054,T2306051501004013260309,13268,Louis Philippe - Banjara Hills,1326802,1326802,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,999.000000,0.000000,0.000000,0.000000,0.000000
ABFRLVANHEUSENPINELABS,PAYMENT,520017552000011,T2306051917313974820582,742708,Madura Garments Van Heusen,1479985,Van Heusen,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684976,2599.000000,0.000000,0.000000,0.000000,0.000000
ABFRLVANHEUSENPINELABS,PAYMENT,520017552000010,T2306051552380966881132,742708,Madura Garments Van Heusen,1479985,Van Heusen,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684976,4596.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63889-6388901-20230605114410,T2306051714211792947324,63889,Peter England,6388901,6388901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,9002.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63889-6388901-20230605070024,T2306051230540109112922,63889,Peter England,6388901,6388901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,2497.000000,0.000000,0.000000,0.000000,0.000000
