"Total Count: ",16540
"Matched Count: ",15292
"Not Matched Count: ",1248

,,,,,,Total,136886262.31,138452984.35,.00,-1566722.04
"Sales Date","Deposit Date","Store ID","Retek Code",Brand,ColBank,Status,"Wallet Sale","Deposit Amount","Store Response Entry","Difference [Sale - Deposit - Store Response]","Pending Difference","Reconcilied Difference"
01-04-2024,01-04-2024,3990,63990,"PE RED","WALLET PHONEPAY",Matched,2698.00,2698.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3992,63992,"PE RED","WALLET PHONEPAY",Matched,4197.00,4197.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4521,34521,"ALLEN SOLLY","WALLET PHONEPAY",Matched,3658.80,3658.80,0.00,0.00,0.00,
01-04-2024,01-04-2024,4533,34533,"ALLEN SOLLY","WALLET PHONEPAY",Matched,1999.00,1999.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4538,34538,"ALLEN SOLLY","WALLET PHONEPAY",Matched,499.00,499.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4539,34539,"ALLEN SOLLY","WALLET PHONEPAY",Matched,13490.00,13490.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4573,34573,"ALLEN SOLLY","WALLET PHONEPAY",Matched,6148.34,6148.34,0.00,0.00,0.00,
01-04-2024,01-04-2024,4576,34576,"ALLEN SOLLY","WALLET PHONEPAY",Matched,14095.00,14095.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4595,34595,"ALLEN SOLLY","WALLET PHONEPAY",Matched,1000.00,1000.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4812,34812,"AS PRIME","WALLET PHONEPAY",Matched,4696.30,4696.30,0.00,0.00,0.00,
01-04-2024,01-04-2024,4823,34823,"AS PRIME","WALLET PHONEPAY",Matched,10564.80,10564.80,0.00,0.00,0.00,
01-04-2024,01-04-2024,4842,34842,"AS PRIME","WALLET PHONEPAY",Matched,5346.30,5346.30,0.00,0.00,0.00,
01-04-2024,01-04-2024,4865,34865,"AS PRIME","WALLET PHONEPAY",Matched,5294.00,5294.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4869,34869,"AS PRIME","WALLET PHONEPAY",Matched,1600.00,1600.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4870,34870,"AS PRIME","WALLET PHONEPAY",Matched,10093.00,10093.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4871,34871,"AS PRIME","WALLET PHONEPAY",Matched,15592.00,15592.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4876,34876,"AS PRIME","WALLET PHONEPAY",Matched,6576.80,6576.80,0.00,0.00,0.00,
01-04-2024,01-04-2024,4884,34884,"AS PRIME","WALLET PHONEPAY",Matched,19988.00,19988.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4887,34887,"AS PRIME","WALLET PHONEPAY",Matched,4598.00,4598.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4889,34889,"AS PRIME","WALLET PHONEPAY",Matched,18791.00,18791.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4890,34890,"AS PRIME","WALLET PHONEPAY",Matched,7995.00,7995.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4892,34892,"ALLEN SOLLY","WALLET PHONEPAY",Matched,5817.20,5817.20,0.00,0.00,0.00,
01-04-2024,01-04-2024,4893,34893,"AS PRIME","WALLET PHONEPAY",Matched,5047.00,5047.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4969,34969,"ALLEN SOLLY","WALLET PHONEPAY",Matched,4273.00,4273.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,4988,34988,"ALLEN SOLLY","WALLET PHONEPAY",Matched,4500.00,4500.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5340,15340,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,32490.00,32490.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5342,15342,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,918.00,918.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5351,15351,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,7025.80,7025.80,0.00,0.00,0.00,
01-04-2024,01-04-2024,5352,15352,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,8265.00,8265.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5355,15355,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,4496.00,4496.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5465,15465,"LP ALL STAR","WALLET PHONEPAY",Matched,14073.50,14073.50,0.00,0.00,0.00,
01-04-2024,01-04-2024,5517,25517,"VAN HEUSEN","WALLET PHONEPAY",Matched,5072.00,5072.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5527,15527,"LOUIS PHILIPPE","WALLET PHONEPAY","Not Matched",32993.00,34387.00,0.00,-1394.00,-1394.00,
01-04-2024,01-04-2024,5528,35528,"ALLEN SOLLY","WALLET PHONEPAY",Matched,5298.00,5298.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5530,35530,"ALLEN SOLLY","WALLET PHONEPAY",Matched,2994.00,2994.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5536,35536,"AS PRIME","WALLET PHONEPAY",Matched,9352.00,9352.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5566,65566,"PE RED","WALLET PHONEPAY",Matched,3427.20,3427.20,0.00,0.00,0.00,
01-04-2024,01-04-2024,5579,65579,"PE BLUE","WALLET PHONEPAY",Matched,16537.00,16537.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5585,65585,"PE RED","WALLET PHONEPAY",Matched,2998.00,2998.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5605,25605,"VH GOLD","WALLET PHONEPAY",Matched,1799.00,1799.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5610,65610,"PE RED","WALLET PHONEPAY",Matched,3198.00,3198.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5619,65619,"PE BLUE","WALLET PHONEPAY",Matched,1799.00,1799.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5638,35638,"ALLEN SOLLY","WALLET PHONEPAY",Matched,4198.80,4198.80,0.00,0.00,0.00,
01-04-2024,01-04-2024,5682,65682,"PE RED","WALLET PHONEPAY",Matched,10193.13,10193.13,0.00,0.00,0.00,
01-04-2024,01-04-2024,5683,65683,"PE RED","WALLET PHONEPAY",Matched,3597.00,3597.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5712,35712,"ALLEN SOLLY","WALLET PHONEPAY",Matched,4398.00,4398.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5714,35714,"AS PRIME","WALLET PHONEPAY",Matched,2698.00,2698.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5725,15725,"LP ALL STAR","WALLET PHONEPAY",Matched,200.00,200.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5739,35739,"AS PRIME","WALLET PHONEPAY",Matched,1898.00,1898.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5777,25777,"VAN HEUSEN","WALLET PHONEPAY",Matched,16673.80,16673.80,0.00,0.00,0.00,
01-04-2024,01-04-2024,5786,65786,"PE BLUE","WALLET PHONEPAY",Matched,10098.17,10098.17,0.00,0.00,0.00,
01-04-2024,01-04-2024,5791,15791,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,61732.00,61732.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5797,35797,"ALLEN SOLLY","WALLET PHONEPAY",Matched,98.00,98.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5824,25824,"VH GOLD","WALLET PHONEPAY",Matched,4436.00,4436.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5843,65843,"PE RED","WALLET PHONEPAY",Matched,998.00,998.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5863,15863,"LP ALL STAR","WALLET PHONEPAY","Not Matched",5695.00,10093.00,0.00,-4398.00,-4398.00,
01-04-2024,01-04-2024,5870,35870,"AS PRIME","WALLET PHONEPAY",Matched,3457.00,3457.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5890,35890,"AS PRIME","WALLET PHONEPAY",Matched,1498.00,1498.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5893,15893,"LP ALL STAR","WALLET PHONEPAY",Matched,5197.00,5197.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5894,65894,"PE RED","WALLET PHONEPAY",Matched,2526.00,2526.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,5900,15900,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,980.00,980.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6036,66036,"PE RED","WALLET PHONEPAY",Matched,3597.00,3597.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6037,66037,"PE RED","WALLET PHONEPAY",Matched,6295.07,6295.07,0.00,0.00,0.00,
