"Unique ID","Sales Date","Deposit Date","Store ID","Retek Code",TID,"Collection Bank","Deposit Amount"
2783729,,2024-11-15,,,42756117,"HDFC UPI",1999.00
2783730,,2024-11-15,,,42756117,"HDFC UPI",10598.00
2783731,,2024-11-15,,,42756117,"HDFC UPI",1199.00
2783732,,2024-11-15,,,42756117,"HDFC UPI",1999.00
2783696,,2024-11-14,,,42745976,"HDFC UPI",779.00
2783697,,2024-11-14,,,42752871,"HDFC UPI",5798.00
2783698,,2024-11-14,,,42752871,"HDFC UPI",1099.50
2783699,,2024-11-14,,,42756117,"HDFC UPI",2999.00
2783700,,2024-11-14,,,42756117,"HDFC UPI",3898.00
2783701,,2024-11-14,,,42755221,"HDFC UPI",1.00
2783702,,2024-11-14,,,42755221,"HDFC UPI",1.00
2783636,,2024-11-13,,,42372183,"HDFC UPI",2.00
2783637,,2024-11-13,,,42752871,"HDFC UPI",5898.70
2783638,,2024-11-13,,,42752871,"HDFC UPI",2848.50
2783639,,2024-11-13,,,42756117,"HDFC UPI",3998.20
2783640,,2024-11-13,,,42745976,"HDFC UPI",1058.00
2783641,,2024-11-13,,,42745976,"HDFC UPI",538.00
2783627,,2024-11-12,,,42752871,"HDFC UPI",1566.50
2783628,,2024-11-12,,,42752871,"HDFC UPI",11146.50
2783629,,2024-11-12,,,42752871,"HDFC UPI",3388.70
2783630,,2024-11-12,,,42745976,"HDFC UPI",2645.00
2783631,,2024-11-11,,,42752871,"HDFC UPI",18094.00
2783632,,2024-11-11,,,42745976,"HDFC UPI",519.00
2783633,,2024-11-11,,,42745976,"HDFC UPI",2547.00
2783634,,2024-11-11,,,42752871,"HDFC UPI",2499.00
2783635,,2024-11-11,,,42752871,"HDFC UPI",7397.00
2782858,,2024-11-11,,,27312739,"HDFC UPI",14250.00
2783023,,2024-11-10,,,42753912,"HDFC UPI",1.00
2783024,,2024-11-10,,,42752871,"HDFC UPI",8900.00
2783025,,2024-11-10,,,42752871,"HDFC UPI",8897.50
2783026,,2024-11-10,,,42752871,"HDFC UPI",2399.20
2783027,,2024-11-10,,,42752871,"HDFC UPI",3648.50
2783028,,2024-11-10,,,42752871,"HDFC UPI",11998.20
2783029,,2024-11-10,,,42752871,"HDFC UPI",7298.00
2782883,,2024-11-09,,,42752871,"HDFC UPI",2999.40
2782884,,2024-11-09,,,42752871,"HDFC UPI",2399.20
2782885,,2024-11-09,,,42752871,"HDFC UPI",1499.50
2782886,,2024-11-09,,,42752871,"HDFC UPI",249.50
2782887,,2024-11-09,,,42752871,"HDFC UPI",2239.20
2782888,,2024-11-09,,,42752871,"HDFC UPI",7336.00
2783018,,2024-11-08,,,42752871,"HDFC UPI",1849.50
2783019,,2024-11-08,,,42752871,"HDFC UPI",249.50
2783020,,2024-11-08,,,42752871,"HDFC UPI",6148.50
2783021,,2024-11-08,,,42752871,"HDFC UPI",11796.00
2783022,,2024-11-08,,,42752871,"HDFC UPI",1497.00
2783017,,2024-11-07,,,42752871,"HDFC UPI",79.00
2782980,,2024-11-04,,,42752871,"HDFC UPI",1.00
2782981,,2024-11-04,,,42752871,"HDFC UPI",1.00
2782982,,2024-11-04,,,42752872,"HDFC UPI",1.00
2782983,,2024-11-04,,,42752872,"HDFC UPI",1.00
2783318,,2024-11-02,,,42454803,"HDFC UPI",6807.00
2783229,,2024-11-01,,,42745976,"HDFC UPI",1.00
2782889,,2024-11-01,,,42745976,"HDFC UPI",1.00
2783586,,2024-10-30,,,42753913,"HDFC UPI",1.00
2783587,,2024-10-30,,,42753912,"HDFC UPI",1.00
2783588,,2024-10-30,,,42753912,"HDFC UPI",1.00
2783589,,2024-10-30,,,42753913,"HDFC UPI",1.00
2783662,,2024-10-25,,,42689649,"HDFC UPI",1.00
2782857,,2024-10-09,,,27312739,"HDFC UPI",12500.00
2782856,,2024-10-03,,,27312739,"HDFC UPI",50.00
