"Unique ID","Sales Date","Deposit Date","Store ID","Retek Code",TID,"Collection Bank","Store Name","Deposit Amount"
2783979,,2024-10-27,,,1569928,"WALLET PHONEPAY",,650.00
2783936,,2024-10-27,,,99100012,"WALLET PHONEPAY",,15250.00
2783937,,2024-10-27,,,1569916,"WALLET PHONEPAY",,6547.00
2783938,,2024-10-27,,,99100011,"WALLET PHONEPAY",,32500.00
2783940,,2024-10-27,,,99100011,"WALLET PHONEPAY",,16500.00
2783942,,2024-10-27,,,99100011,"WALLET PHONEPAY",,20000.00
2783941,,2024-10-26,,,99100011,"WALLET PHONEPAY",,55500.00
2783935,,2024-10-26,,,L0595701,"WALLET PHONEPAY",,1.00
2783939,,2024-10-26,,,99100011,"WALLET PHONEPAY",,30500.00
2783774,,2024-10-24,,,99100012,"WALLET PHONEPAY",,4800.00
2783775,,2024-10-24,,,1479985,"WALLET PHONEPAY",,2648.20
2783776,,2024-10-24,,,99100011,"WALLET PHONEPAY",,13000.00
2783829,,2024-10-24,,,99043014,"WALLET PHONEPAY",,40750.00
2783788,,2024-10-23,,,99100011,"WALLET PHONEPAY",,8000.00
2783789,,2024-10-23,,,99100011,"WALLET PHONEPAY",,20750.00
2783790,,2024-10-23,,,99100011,"WALLET PHONEPAY",,34000.00
2783791,,2024-10-23,,,99100011,"WALLET PHONEPAY",,36850.00
2783783,,2024-10-22,,,99043015,"WALLET PHONEPAY",,15996.00
2783772,,2024-10-22,,,99100012,"WALLET PHONEPAY",,5500.00
2783773,,2024-10-22,,,99100012,"WALLET PHONEPAY",,14500.00
2783751,,2024-10-22,,,99100011,"WALLET PHONEPAY",,16250.00
2783752,,2024-10-22,,,99100011,"WALLET PHONEPAY",,9750.00
2783753,,2024-10-22,,,99100011,"WALLET PHONEPAY",,2500.00
2783740,,2024-10-21,,,99100011,"WALLET PHONEPAY",,13750.00
2783770,,2024-10-21,,,1479985,"WALLET PHONEPAY",,2499.00
2783840,,2024-10-21,,,L0595701,"WALLET PHONEPAY",,1.00
2783841,,2024-10-21,,,L0595701,"WALLET PHONEPAY",,1.00
2783842,,2024-10-21,,,L0595701,"WALLET PHONEPAY",,-1.00
2783880,,2024-10-21,,,99100011,"WALLET PHONEPAY",,34000.00
2783881,,2024-10-21,,,99100011,"WALLET PHONEPAY",,1000.00
2783882,,2024-10-21,,,99100011,"WALLET PHONEPAY",,250.00
2783899,,2024-10-20,,,99100011,"WALLET PHONEPAY",,18500.00
2783896,,2024-10-20,,,99100011,"WALLET PHONEPAY",,16890.00
2783897,,2024-10-20,,,99100011,"WALLET PHONEPAY",,1250.00
2783877,,2024-10-20,,,99100012,"WALLET PHONEPAY",,12250.00
2783795,,2024-10-20,,,99100012,"WALLET PHONEPAY",,9500.00
2783878,,2024-10-19,,,99100012,"WALLET PHONEPAY",,1500.00
2783875,,2024-10-19,,,99100012,"WALLET PHONEPAY",,18495.00
2783876,,2024-10-19,,,99100012,"WALLET PHONEPAY",,34700.00
2783855,,2024-10-19,,,9920103,"WALLET PHONEPAY",,5000.00
2783856,,2024-10-19,,,9920103,"WALLET PHONEPAY",,14500.00
2783898,,2024-10-19,,,99100011,"WALLET PHONEPAY",,17000.00
2783895,,2024-10-19,,,99100011,"WALLET PHONEPAY",,7000.00
2783854,,2024-10-18,,,99100011,"WALLET PHONEPAY",,19945.00
2783832,,2024-10-18,,,99100012,"WALLET PHONEPAY",,70550.00
2783831,,2024-10-17,,,99100012,"WALLET PHONEPAY",,9000.00
2783851,,2024-10-17,,,99100011,"WALLET PHONEPAY",,8900.00
2783879,,2024-10-16,,,1479985,"WALLET PHONEPAY",,6866.68
2783808,,2024-10-16,,,99100011,"WALLET PHONEPAY",,21995.00
2783809,,2024-10-16,,,99100011,"WALLET PHONEPAY",,30000.00
2783810,,2024-10-16,,,99100011,"WALLET PHONEPAY",,26995.00
2783811,,2024-10-16,,,L0595701,"WALLET PHONEPAY",,1.00
2783830,,2024-10-15,,,99100011,"WALLET PHONEPAY",,18500.00
2783771,,2024-10-15,,,99100012,"WALLET PHONEPAY",,250.00
2783761,,2024-10-13,,,99100011,"WALLET PHONEPAY",,12500.00
2783756,,2024-10-13,,,99100011,"WALLET PHONEPAY",,13750.00
2783757,,2024-10-13,,,99100011,"WALLET PHONEPAY",,13250.00
2783758,,2024-10-13,,,99100014,"WALLET PHONEPAY",,24750.00
2783764,,2024-10-13,,,99100011,"WALLET PHONEPAY",,15500.00
2783873,,2024-10-13,,,9921601,"WALLET PHONEPAY",,9800.00
2783843,,2024-10-12,,,99100012,"WALLET PHONEPAY",,15000.00
2783755,,2024-10-12,,,99100011,"WALLET PHONEPAY",,5000.00
2783762,,2024-10-12,,,99100011,"WALLET PHONEPAY",,8900.00
2783760,,2024-10-12,,,99100011,"WALLET PHONEPAY",,39000.00
2783763,,2024-10-11,,,99100011,"WALLET PHONEPAY",,26000.00
2783759,,2024-10-11,,,99100011,"WALLET PHONEPAY",,25500.00
2783844,,2024-10-10,,,99100012,"WALLET PHONEPAY",,40000.00
2783828,,2024-10-09,,,99100012,"WALLET PHONEPAY",,1045.00
