"Total Count: ",356
"Matched Count: ",327
"Not Matched Count: ",29

,,,,,,Total,115556920.22,108680516.98,.00,6876403.24
"Credit Date","Deposit Date","Store ID","Retek Code","Col Bank",Status,"Reference Number","Net MIS Amount","Credit Amount","Store Response Entry","Difference [Net Amt - Cr Amt - Store Response]","Store Gouping Remarks"
20-05-2024,19-05-2024,9993,39993,"WALLET PHONEPAY",Matched,YESPH41410194359,607290.02,607289.99,.00,-0.03,"Stores: 1227,1228,1241,2977,2995,3731,4521,4533,4538,4539,4569,4573,4576,4585,4592,4812,4823,4831,4856,4862,4865,4868,4871,4872,4876,4884,4887,4889,4890,4893,4988,5468,5528,5529,5536,5600,5780,5797,5878,6512,6629,6664,6701,6703,6721,6736,6758,6759,6823,6829,6832,6856,6910,6914,6921,6945,6975,7006,7066,7082,7524,7582,7617,7618,7622,7643,7668,7685,7728,7822,7853,7855,7858,7917,7936,9426,9648,9654,9735,9745,9754,9805,9882,9883,9897,9951,9993"
20-05-2024,19-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41411651684,2492238.65,2526703.81,.00,34465.16,"Stores: 1404,1515,2574,2577,2591,2598,2724,2792,2805,2827,2886,2891,3611,3616,3618,3654,3662,3663,3669,3673,3674,3678,3686,3690,3691,3696,3697,3698,3801,3810,3812,3816,3817,3821,3830,3831,3834,3835,3838,3842,3843,3845,3852,3854,3858,3869,3876,3884,3885,3888,3891,3900,3902,3904,3905,3909,3910,3916,3918,3919,3922,3924,3927,3931,3935,3938,3950,3961,3962,3963,3964,3978,3980,3982,3983,3985,3986,3987,3990,3992,3994,5476,5579,5585,5610,5611,5682,5683,5759,5760,5786,5843,5894,5919,5982,6011,6036,6037,6044,6046,6053,6054,6056,6064,6074,6076,6078,6091,6092,6094,6096,6101,6106,6110,6111,6112,6121,6129,6130,6134,6140,6143,6159,6160,6170,6173,6177,6187,6188,6189,6208,6214,6224,6225,6227,6229,6241,6257,6265,6284,6286,6287,6334,6346,6348,6357,6364,6366,6371,6373,6376,6384,6388,6389,6392,6400,6465,6467,6511,6536,6538,6542,6543,6553,6555,6556,6563,6570,6571,6575,6594,6628,6656,6662,6675,6689,6716,6722,6726,6731,6741,6742,6743,6747,6795,6816,6833,6842,6911,6927,6973,6977,6991,7004,7019,7031,7041,7051,7073,7093,7212,7255,7265,7266,7282,7522,7542,7563,7574,7614,7667,7711,7714,7715,7760,7763,7771,7802,7829,7852,7859,7872,7875,7880,7913,9454,9771,9772,9792,9800,9823,9872"
20-05-2024,19-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM14151058741,2498.00,2498.00,.00,0.00,
20-05-2024,19-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM14153077467,7063.00,7063.00,.00,0.00,
20-05-2024,19-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41410862570,115492.26,115492.25,.00,-0.01,"Stores: 1039,1043,1266,1817,2158,2194,2490,3430,3436"
20-05-2024,19-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM14151868859,59608.80,59608.80,.00,0.00,"Stores: 2556,6313,6386"
20-05-2024,19-05-2024,9713,59713,"WALLET PHONEPAY",Matched,YESPH41411654060,152593.00,152593.00,.00,0.00,"Stores: 9421,9701,9704,9712,9713"
20-05-2024,19-05-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM14150176050,4496.00,4496.00,.00,0.00,
19-05-2024,18-05-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM14039411063,5005.25,4989.27,.00,-15.98,
19-05-2024,18-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM14042599624,22451.15,22451.15,.00,0.00,"Stores: 2556,6313,6386"
