"Total Count: ",356
"Matched Count: ",327
"Not Matched Count: ",29

,,,,,,Total,115556920.22,108680516.98,.00,6876403.24
"Credit Date","Deposit Date","Store ID","Retek Code","Col Bank",Status,"Reference Number","Net MIS Amount","Credit Amount","Store Response Entry","Difference [Net Amt - Cr Amt - Store Response]","Store Gouping Remarks"
05-05-2024,04-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41260237081,603733.97,603734.00,.00,0.03,"Stores: 1227,1228,1241,2977,2995,3731,4521,4533,4539,4573,4576,4585,4587,4800,4812,4862,4865,4870,4871,4876,4884,4887,4889,4890,4892,4893,4895,4951,4988,5528,5529,5536,5638,5692,5739,5780,6512,6596,6634,6701,6703,6721,6735,6736,6758,6759,6762,6823,6829,6856,6910,6914,6921,6945,6962,6975,7060,7082,7085,7524,7617,7618,7622,7643,7668,7685,7728,7822,7853,7855,7858,7917,7919,7936,9426,9648,9649,9654,9735,9805,9882,9897,9951"
04-05-2024,03-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41250233249,458240.58,458240.59,.00,0.01,"Stores: 1227,1228,2977,3731,4521,4533,4535,4539,4576,4583,4585,4812,4850,4862,4866,4871,4872,4876,4884,4887,4889,4890,4893,4988,5529,5660,5692,5714,5739,5780,5797,6443,6512,6634,6664,6701,6703,6734,6736,6759,6762,6829,6856,6868,6910,6914,6921,6962,6975,7082,7085,7524,7562,7617,7618,7622,7643,7668,7728,7822,7853,7855,7917,7936,9428,9648,9654,9735,9754,9805,9862,9883,9897,9951"
04-05-2024,03-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM12502662934,14633.00,14633.00,.00,0.00,"Stores: 2556,6386"
04-05-2024,03-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM12599479201,2698.00,2698.00,.00,0.00,
04-05-2024,03-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM12599480639,799.00,799.00,.00,0.00,
04-05-2024,03-05-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41250919691,61213.51,61213.50,.00,-0.01,"Stores: 1001,1039,1043,1105,1266,1270,1817,2446,2447,9403,9585"
04-05-2024,03-05-2024,9713,59713,"WALLET PHONEPAY",Matched,YESPH41251840779,42624.50,42624.50,.00,0.00,"Stores: 9421,9701,9704,9712,9713"
04-05-2024,03-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41251842433,874178.76,986611.35,.00,112432.59,"Stores: 1347,1404,1510,2562,2574,2577,2591,2598,2633,2662,2827,2886,3616,3618,3660,3662,3669,3673,3678,3697,3698,3809,3810,3811,3812,3816,3817,3821,3834,3849,3852,3854,3858,3876,3885,3887,3895,3900,3901,3902,3903,3904,3905,3910,3918,3922,3924,3931,3935,3938,3940,3961,3980,3982,3983,3985,3986,3990,3992,3994,5476,5610,5611,5682,5683,5760,5834,5843,5894,5919,5982,6011,6021,6037,6044,6046,6053,6054,6056,6064,6071,6078,6091,6092,6096,6101,6106,6110,6112,6119,6121,6140,6159,6160,6163,6173,6187,6208,6214,6223,6225,6227,6229,6241,6243,6257,6265,6282,6284,6285,6286,6334,6346,6348,6352,6357,6359,6364,6366,6371,6376,6384,6392,6400,6421,6423,6511,6536,6543,6555,6556,6563,6567,6570,6571,6575,6594,6628,6643,6662,6675,6689,6716,6722,6726,6731,6743,6747,6795,6816,6833,6842,6927,7019,7054,7093,7212,7255,7265,7266,7574,7714,7760,7763,7771,7829,7852,7859,9454,9771,9772,9792,9800,9823,9872"
03-05-2024,02-05-2024,9823,69823,"WALLET PHONEPAY",Matched,YESPH41241832693,742794.36,742794.39,.00,0.03,"Stores: 1493,1510,2562,2577,2591,2614,2633,2651,2662,2805,2827,3616,3618,3654,3673,3678,3691,3696,3699,3809,3810,3811,3812,3817,3821,3830,3831,3834,3843,3845,3849,3852,3876,3884,3889,3901,3902,3903,3905,3910,3918,3919,3924,3927,3935,3938,3940,3951,3961,3962,3963,3978,3980,3982,3983,3985,3986,3990,3992,3994,5469,5476,5558,5585,5682,5683,5741,5786,5843,5894,5919,5982,6011,6021,6046,6053,6054,6056,6071,6076,6078,6091,6092,6094,6096,6101,6106,6110,6111,6112,6119,6130,6134,6138,6140,6143,6157,6159,6160,6188,6190,6208,6223,6227,6229,6241,6243,6257,6265,6269,6282,6284,6285,6286,6348,6357,6364,6366,6371,6373,6376,6384,6388,6392,6393,6400,6423,6465,6467,6536,6543,6555,6556,6563,6567,6571,6575,6594,6628,6656,6662,6675,6689,6716,6722,6726,6741,6743,6747,6795,6833,6842,6987,7019,7054,7093,7212,7255,7265,7540,7563,7574,7607,7614,7714,7715,7760,7763,7829,7852,7859,7872,7875,9454,9771,9772,9823"
03-05-2024,02-05-2024,9712,59712,"WALLET PHONEPAY",Matched,YESPH41241831411,45706.60,45706.60,.00,0.00,"Stores: 9421,9709,9712"
03-05-2024,02-05-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41240900215,61435.65,61435.65,.00,0.00,"Stores: 1176,1266,1817,2447,3430,9585"
03-05-2024,02-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM12489071695,1405.00,1405.00,.00,0.00,
03-05-2024,02-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM12493366844,26781.50,26781.50,.00,0.00,"Stores: 2556,6386"
03-05-2024,02-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41240245982,506780.68,506780.72,.00,0.04,"Stores: 2977,4533,4535,4539,4573,4576,4585,4800,4812,4831,4842,4862,4865,4870,4871,4876,4884,4887,4889,4890,4892,4893,4988,5528,5529,5531,5739,6443,6512,6596,6634,6664,6701,6703,6721,6736,6758,6759,6762,6823,6910,6914,6962,6975,7006,7082,7085,7524,7562,7582,7617,7618,7622,7643,7668,7685,7822,7853,7855,7858,7878,7917,9426,9648,9654,9735,9754,9882,9883,9897,9951"
02-05-2024,01-05-2024,9897,39897,"WALLET PHONEPAY",Matched,YESPH41230237727,524158.38,524158.40,.00,0.02,"Stores: 1227,1228,1241,2977,2995,4521,4533,4539,4558,4568,4573,4576,4579,4585,4800,4812,4831,4842,4870,4871,4872,4876,4884,4887,4889,4892,4893,4895,5528,5529,5530,5536,5692,5739,5797,5870,6443,6512,6629,6633,6634,6664,6703,6721,6758,6759,6762,6823,6832,6856,6868,6910,6914,6921,6962,6975,7006,7060,7082,7524,7617,7622,7643,7668,7685,7728,7822,7853,7858,7917,7936,9648,9654,9735,9745,9754,9805,9862,9882,9883,9897"
02-05-2024,01-05-2024,6386,66386,"WALLET PAYTM","Not Matched",AXNPM12383149697,24803.72,24213.32,.00,-590.40,"Stores: 2556,6386"
02-05-2024,01-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM12382508883,6096.00,6096.00,.00,0.00,
02-05-2024,01-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM12380818718,400.00,400.00,.00,0.00,
02-05-2024,01-05-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41230762816,99581.15,99581.15,.00,0.00,"Stores: 1001,1039,1043,1176,1266,1817,2446,3420,3436,9403,9585"
02-05-2024,01-05-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM12381314304,599.00,599.00,.00,0.00,
02-05-2024,30-04-2024,7938,77938,"WALLET PHONEPAY",Matched,AXNPN12384802673,1999.00,1999.00,.00,0.00,
02-05-2024,01-05-2024,8446,78446,"WALLET PHONEPAY",Matched,412312474300,43588.07,43588.07,.00,0.00,
02-05-2024,01-05-2024,9717,59717,"WALLET PHONEPAY",Matched,YESPH41231810769,93765.68,93765.68,.00,0.00,"Stores: 9421,9701,9704,9712,9717"
02-05-2024,01-05-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH41231810700,1377394.55,1377394.62,.00,0.07,"Stores: 1404,1510,1515,2574,2598,2633,2651,2805,3611,3616,3618,3654,3655,3662,3673,3678,3686,3690,3696,3698,3801,3809,3812,3816,3817,3821,3830,3831,3834,3843,3845,3852,3854,3876,3887,3888,3889,3895,3900,3901,3902,3903,3904,3905,3909,3910,3917,3919,3922,3924,3927,3931,3935,3938,3951,3961,3962,3963,3978,3980,3982,3983,3985,3990,3992,3994,5476,5558,5566,5610,5611,5619,5682,5683,5786,5834,5843,5894,5982,6011,6021,6036,6037,6044,6046,6053,6054,6056,6064,6071,6078,6091,6092,6094,6096,6101,6106,6110,6111,6112,6119,6121,6122,6134,6138,6140,6143,6159,6160,6163,6170,6173,6189,6190,6208,6214,6223,6224,6225,6227,6229,6241,6243,6269,6274,6282,6283,6284,6285,6286,6289,6344,6346,6348,6357,6359,6364,6371,6373,6376,6384,6387,6388,6392,6395,6400,6415,6421,6423,6465,6467,6536,6543,6555,6556,6563,6567,6570,6571,6573,6575,6594,6624,6628,6632,6643,6656,6662,6675,6689,6716,6722,6726,6731,6741,6743,6747,6795,6816,6833,6842,6911,6927,6936,6987,7019,7031,7051,7054,7055,7093,7212,7255,7265,7266,7282,7517,7522,7542,7563,7607,7711,7714,7715,7760,7763,7829,7834,7852,7872,7875,7880,7902,7946,7961,9454,9771,9772,9792,9800,9823,9872"
01-05-2024,30-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41221009968,42607.89,42607.89,.00,0.00,"Stores: 1039,1043,1176,1266,1817,3430,3436,9585"
01-05-2024,30-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM12272202796,4027.03,4027.03,.00,0.00,
01-05-2024,30-04-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM12273856162,31712.20,31712.20,.00,0.00,"Stores: 2556,6386"
01-05-2024,30-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41220287726,274876.92,274876.90,.00,-0.02,"Stores: 1228,1241,2977,3731,3738,4521,4533,4535,4573,4576,4585,4595,4800,4812,4831,4842,4850,4867,4868,4870,4871,4876,4884,4889,4890,4892,5528,5692,5739,5797,6512,6596,6629,6634,6703,6721,6736,6758,6759,6832,6910,6914,6921,6945,6975,6998,7060,7524,7582,7618,7622,7643,7668,7728,7822,7853,7858,9426,9461,9648,9735,9754,9862,9882,9883,9897,9951"
01-05-2024,30-04-2024,9989,29989,"WALLET PHONEPAY",Matched,YESPH41220174603,107870.38,107870.40,.00,0.02,"Stores: 1175,1233,5777,7010,7673,7686,7697,7756,7989,8141,8147,8148,8217,8291,9087,9466,9596,9615,9650,9763,9782,9817,9989"
30-04-2024,29-04-2024,9993,39993,"WALLET PHONEPAY",Matched,YESPH41210217851,439852.18,439852.19,.00,0.01,"Stores: 1227,1228,1241,2977,2995,4533,4535,4539,4573,4592,4800,4812,4831,4842,4865,4867,4870,4871,4872,4876,4884,4887,4889,4890,4892,4893,4988,4998,5528,5529,5531,5536,5539,5638,5660,5692,5714,5739,5797,6443,6596,6629,6664,6691,6701,6703,6721,6734,6736,6758,6759,6762,6823,6829,6832,6856,6910,6914,6921,6945,6962,6975,6998,7006,7060,7082,7524,7566,7582,7617,7618,7622,7643,7668,7728,7822,7853,7858,9460,9461,9648,9654,9735,9754,9882,9883,9897,9951,9993"
30-04-2024,29-04-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM12164872210,24391.75,24391.75,.00,0.00,"Stores: 2556,6386"
30-04-2024,29-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM12162068085,2696.00,2696.00,.00,0.00,
30-04-2024,29-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM12161788895,1758.40,1758.40,.00,0.00,
30-04-2024,29-04-2024,9712,59712,"WALLET PHONEPAY",Matched,YESPH41211677632,35089.50,35089.50,.00,0.00,"Stores: 9421,9701,9710,9712"
30-04-2024,29-04-2024,9823,69823,"WALLET PHONEPAY",Matched,YESPH41211677559,712861.91,712863.88,.00,1.97,"Stores: 1347,1404,2577,2614,2662,2827,2891,3616,3618,3644,3662,3669,3673,3675,3678,3690,3696,3697,3699,3801,3809,3811,3821,3831,3834,3845,3849,3852,3854,3858,3876,3887,3888,3889,3891,3904,3905,3910,3917,3919,3922,3924,3927,3938,3961,3964,3978,3980,3983,3992,3994,5476,5610,5682,5683,5786,5843,5982,6021,6037,6039,6044,6053,6054,6056,6064,6071,6074,6078,6091,6096,6101,6106,6110,6112,6119,6122,6130,6134,6143,6160,6170,6188,6189,6208,6214,6223,6227,6229,6243,6257,6258,6265,6282,6283,6285,6286,6287,6344,6346,6348,6357,6359,6364,6371,6373,6376,6387,6392,6400,6511,6536,6543,6555,6563,6570,6571,6575,6594,6628,6632,6643,6656,6662,6689,6716,6722,6726,6731,6741,6742,6747,6795,6816,6833,6911,6987,7019,7054,7055,7093,7255,7265,7266,7522,7563,7574,7607,7614,7667,7711,7714,7760,7763,7771,7829,7852,7859,7872,7880,9454,9771,9772,9800,9823"
30-04-2024,29-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41210778497,72174.55,72174.55,.00,0.00,"Stores: 1000,1039,1043,1105,1176,1266,2194,2446,2447,2459,9585"
29-04-2024,28-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41200783760,119810.79,119810.79,.00,0.00,"Stores: 1039,1043,1105,1266,1817,2446,2447,2490,9585"
29-04-2024,28-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH41201670630,3345952.13,3345953.39,.00,1.26,"Stores: 1404,1510,1515,2318,2562,2574,2577,2591,2598,2614,2633,2772,2792,2886,2891,2898,3611,3616,3618,3632,3654,3655,3662,3669,3673,3675,3678,3690,3691,3696,3697,3698,3809,3811,3812,3816,3817,3821,3830,3831,3834,3843,3845,3849,3852,3854,3858,3866,3876,3885,3888,3889,3891,3895,3900,3901,3902,3904,3905,3909,3910,3918,3919,3922,3924,3925,3927,3931,3935,3938,3950,3951,3961,3962,3963,3964,3980,3982,3983,3985,3986,3987,3990,3992,3994,5476,5535,5585,5609,5610,5611,5619,5682,5683,5741,5786,5843,5894,5919,5982,6011,6021,6036,6037,6039,6043,6044,6053,6054,6056,6064,6071,6074,6078,6091,6092,6094,6096,6101,6106,6110,6111,6112,6119,6121,6122,6130,6134,6138,6143,6158,6159,6160,6163,6165,6168,6170,6173,6187,6188,6189,6190,6200,6208,6214,6222,6223,6225,6227,6229,6241,6243,6257,6258,6265,6269,6282,6283,6284,6285,6286,6289,6344,6346,6348,6350,6352,6357,6359,6364,6366,6369,6371,6373,6376,6384,6387,6388,6392,6393,6395,6400,6415,6421,6423,6429,6465,6467,6536,6542,6543,6555,6556,6563,6570,6571,6573,6575,6594,6624,6627,6628,6632,6643,6662,6675,6689,6716,6722,6726,6731,6741,6742,6743,6747,6763,6795,6816,6833,6842,6900,6911,6927,6936,6987,7004,7019,7041,7054,7055,7093,7212,7255,7265,7266,7282,7517,7522,7542,7563,7574,7607,7614,7711,7714,7715,7760,7763,7771,7802,7829,7852,7859,7870,7872,7875,7880,7902,9448,9454,9456,9771,9772,9792,9800,9823,9872"
29-04-2024,28-04-2024,9712,59712,"WALLET PHONEPAY",Matched,YESPH41201669123,164491.90,164491.90,.00,0.00,"Stores: 9421,9499,9701,9704,9710,9712"
29-04-2024,28-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41200228055,696386.56,696386.60,.00,0.04,"Stores: 1227,1228,2977,3731,4521,4533,4535,4539,4568,4573,4576,4585,4587,4592,4800,4812,4823,4831,4867,4870,4871,4872,4876,4884,4889,4890,4892,4893,4969,4988,5528,5529,5530,5536,5660,5738,5739,5797,5878,6512,6596,6629,6634,6664,6701,6703,6721,6734,6823,6829,6910,6914,6921,6945,6962,6975,6998,7006,7060,7082,7091,7524,7566,7582,7617,7618,7622,7643,7668,7685,7728,7822,7853,7855,7858,7871,7878,7917,7936,9426,9460,9461,9648,9654,9735,9745,9754,9805,9882,9883,9897,9951"
28-04-2024,27-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41190236950,740147.03,740147.04,.00,0.01,"Stores: 1149,1228,1241,2977,2995,4521,4533,4538,4539,4568,4573,4576,4579,4585,4800,4812,4831,4842,4867,4868,4870,4871,4876,4884,4887,4889,4890,4892,4893,4963,4988,5528,5529,5530,5536,5660,5692,5739,5795,5797,6443,6512,6596,6629,6634,6664,6701,6703,6719,6721,6734,6736,6762,6823,6829,6832,6847,6856,6910,6914,6921,6962,6975,6998,7006,7060,7082,7085,7524,7582,7617,7618,7622,7643,7668,7685,7822,7853,7855,7858,7878,7936,7977,9461,9735,9745,9754,9805,9862,9882,9883,9897,9951"
28-04-2024,27-04-2024,9989,29989,"WALLET PHONEPAY",Matched,YESPH41190119347,365576.78,365576.77,.00,-0.01,"Stores: 1118,1175,1233,1577,5500,5765,5777,5801,5824,5989,6929,7010,7074,7558,7697,7756,7770,7893,7894,7989,8110,8141,8147,8148,8165,8172,8190,8289,8291,8292,9087,9466,9596,9605,9615,9650,9746,9756,9782,9817,9937,9989"
28-04-2024,27-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41190845659,141967.80,141967.80,.00,0.00,"Stores: 1001,1105,1176,1817,2446,2447,2490,3430,3436,9403,9585"
28-04-2024,27-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM11946200195,1198.00,1198.00,.00,0.00,
28-04-2024,27-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM11944424384,4543.00,4543.00,.00,0.00,
28-04-2024,27-04-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM11945423661,79338.49,79338.49,.00,0.00,"Stores: 2556,6386"
27-04-2024,26-04-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM11838711552,38819.30,38819.30,.00,0.00,"Stores: 2556,6386"
27-04-2024,26-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM11835519689,3796.00,3796.00,.00,0.00,
27-04-2024,26-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41180837134,125354.50,125354.50,.00,0.00,"Stores: 1001,1039,1105,1176,1266,1817,2194,2447,9585"
27-04-2024,26-04-2024,9883,39883,"WALLET PHONEPAY",Matched,YESPH41180236485,740379.73,740379.74,.00,0.01,"Stores: 1227,1228,1241,2977,3731,3738,4521,4533,4538,4539,4573,4585,4800,4812,4823,4831,4842,4864,4868,4870,4871,4876,4884,4887,4889,4890,4892,4893,4988,5486,5528,5529,5530,5536,5638,5660,5738,5739,5797,5870,6443,6512,6596,6629,6634,6664,6701,6703,6708,6721,6736,6758,6759,6762,6823,6829,6832,6856,6868,6910,6914,6921,6962,6975,6998,7006,7082,7524,7562,7582,7617,7618,7622,7643,7668,7684,7685,7822,7853,7855,7858,7917,7936,9649,9735,9754,9805,9862,9882,9883"
27-04-2024,26-04-2024,9989,29989,"WALLET PHONEPAY",Matched,YESPH41180113077,263155.74,263155.74,.00,0.00,"Stores: 1175,1233,1591,5500,5517,5605,5777,5801,5824,6929,7010,7070,7538,7558,7697,7894,8110,8141,8148,8190,8267,8279,8289,8291,8292,8293,8357,9087,9466,9596,9605,9615,9746,9763,9782,9989"
26-04-2024,25-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41170234215,742039.91,742039.95,.00,0.04,"Stores: 1228,1241,2995,4521,4533,4535,4538,4539,4573,4579,4812,4823,4831,4850,4855,4864,4865,4867,4868,4870,4872,4876,4884,4887,4889,4890,4892,4893,4896,4988,5528,5529,5530,5536,5538,5600,5739,5797,5870,6443,6512,6596,6629,6634,6664,6691,6701,6703,6721,6736,6758,6762,6823,6829,6832,6856,6910,6914,6921,6945,6962,6975,6998,7060,7082,7524,7582,7617,7622,7643,7668,7772,7822,7858,7917,7936,9426,9460,9648,9654,9735,9882,9883,9897,9951"
26-04-2024,25-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH41171802271,1109566.20,1109566.15,.00,-0.05,"Stores: 1404,1510,2556,2562,2577,2591,2598,2614,2633,2662,2772,2808,3616,3618,3654,3655,3662,3673,3678,3690,3697,3698,3809,3811,3816,3817,3821,3825,3830,3834,3858,3876,3884,3889,3891,3895,3900,3910,3919,3922,3924,3925,3927,3931,3935,3938,3961,3962,3980,3982,3983,3985,3986,3990,3992,3994,5476,5535,5610,5611,5682,5683,5741,5760,5786,5843,5919,6021,6036,6044,6053,6054,6056,6071,6076,6092,6094,6101,6106,6110,6111,6112,6119,6121,6134,6139,6143,6159,6160,6170,6173,6187,6200,6208,6214,6223,6227,6229,6241,6257,6265,6269,6276,6282,6283,6284,6285,6286,6334,6346,6352,6357,6359,6364,6366,6369,6371,6376,6384,6387,6388,6392,6393,6395,6400,6423,6465,6467,6511,6536,6542,6543,6553,6555,6556,6563,6570,6575,6594,6627,6628,6643,6662,6675,6689,6716,6726,6741,6742,6743,6747,6795,6816,6833,6842,6936,6977,6987,7004,7019,7041,7054,7093,7212,7255,7266,7517,7522,7542,7563,7607,7614,7667,7711,7714,7763,7771,7829,7852,7859,7870,7872,7880,7961,9448,9454,9455,9771,9772,9792,9800,9823,9872"
26-04-2024,25-04-2024,9712,59712,"WALLET PHONEPAY",Matched,YESPH41171801265,36282.00,36282.00,.00,0.00,"Stores: 9421,9701,9704,9712"
26-04-2024,25-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41170793005,117933.39,117933.40,.00,0.01,"Stores: 1001,1039,1043,1105,1176,1817,2194,2446,3430,3436,9585"
26-04-2024,25-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM11725959511,2597.00,2597.00,.00,0.00,
26-04-2024,25-04-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM11728648546,7436.20,7436.20,.00,0.00,
25-04-2024,24-04-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM11618813470,6496.00,6496.00,.00,0.00,
25-04-2024,24-04-2024,9403,49403,"WALLET PHONEPAY",Matched,YESPH41160930838,70807.59,70807.59,.00,0.00,"Stores: 1001,1039,1266,1817,2446,2490,3430,3436,9403"
25-04-2024,24-04-2024,9421,59421,"WALLET PHONEPAY",Matched,YESPH41161804201,4598.00,4598.00,.00,0.00,
25-04-2024,24-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH41161804103,1061491.73,1061491.77,.00,0.04,"Stores: 1340,1404,1515,2318,2556,2562,2574,2591,2598,2614,2805,2891,3616,3618,3644,3660,3662,3673,3678,3689,3690,3697,3809,3811,3816,3821,3825,3830,3834,3843,3845,3858,3866,3876,3884,3889,3903,3904,3905,3909,3918,3919,3922,3924,3931,3935,3938,3951,3961,3962,3964,3980,3982,3983,3986,3990,3992,3994,5476,5535,5585,5609,5610,5611,5682,5683,5741,5760,5786,5843,5919,6011,6036,6037,6044,6053,6054,6056,6071,6091,6092,6094,6096,6101,6106,6112,6121,6130,6134,6140,6159,6160,6170,6187,6188,6190,6200,6208,6214,6223,6227,6229,6243,6257,6258,6265,6269,6282,6283,6284,6286,6289,6348,6352,6357,6359,6364,6366,6369,6371,6373,6376,6384,6386,6387,6392,6393,6395,6400,6421,6429,6511,6536,6542,6543,6556,6567,6570,6575,6594,6624,6628,6662,6675,6716,6722,6726,6743,6747,6795,6816,6833,6842,6936,7004,7019,7041,7054,7093,7212,7255,7265,7266,7282,7517,7542,7563,7574,7711,7714,7760,7763,7771,7829,7859,7872,7875,7880,9454,9771,9772,9800,9823,9872"
25-04-2024,24-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41160234137,660752.83,660752.84,.00,0.01,"Stores: 1149,1228,3731,4521,4533,4535,4539,4573,4576,4585,4806,4812,4823,4831,4867,4870,4871,4872,4879,4884,4887,4889,4890,4892,4893,4988,4998,5528,5529,5536,5538,5638,5660,5739,5797,6443,6596,6629,6634,6664,6701,6703,6721,6734,6735,6736,6758,6759,6762,6823,6829,6832,6868,6910,6914,6921,6945,6975,7006,7060,7082,7085,7285,7524,7582,7622,7643,7668,7685,7728,7822,7853,7855,7858,7917,9426,9460,9461,9648,9654,9754,9862,9882,9897,9951"
24-04-2024,23-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41150228759,609654.33,609654.33,.00,0.00,"Stores: 2977,3731,4521,4533,4535,4539,4573,4576,4585,4587,4592,4812,4823,4831,4842,4850,4856,4867,4868,4870,4871,4876,4884,4887,4889,4890,4988,5528,5529,5530,5739,5797,5870,5890,6443,6512,6629,6634,6701,6703,6721,6736,6758,6759,6762,6790,6823,6829,6832,6910,6914,6921,6945,6962,7006,7060,7082,7085,7524,7617,7622,7643,7668,7685,7728,7853,7855,7858,7917,7936,7977,9426,9460,9648,9654,9745,9882,9897,9951"
24-04-2024,23-04-2024,9712,59712,"WALLET PHONEPAY",Matched,YESPH41151847628,27690.00,27690.00,.00,0.00,"Stores: 9701,9704,9712"
24-04-2024,23-04-2024,9782,29782,"WALLET PHONEPAY",Matched,YESPH41150114761,352349.06,352349.06,.00,0.00,"Stores: 1118,1175,1233,1774,5517,5777,5801,5824,5989,7010,7070,7074,7564,7697,7756,7770,7894,8110,8141,8146,8147,8148,8190,8279,8286,8289,8291,8292,8293,8356,9087,9484,9596,9605,9615,9746,9763,9782"
24-04-2024,23-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41150852971,107414.62,107414.61,.00,-0.01,"Stores: 1043,1176,1266,1817,2194,2446,2447,2490,3436,9585"
24-04-2024,23-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM11509890879,6598.00,6598.00,.00,0.00,
24-04-2024,23-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM11510872425,75135.25,75100.10,.00,-35.15,"Stores: 2556,6200,6386,6393"
24-04-2024,23-04-2024,2763,62763,"WALLET PAYTM",Matched,AXNPM11510313114,5185.35,5185.35,.00,0.00,
23-04-2024,22-04-2024,2763,62763,"WALLET PAYTM",Matched,AXNPM11402111151,7945.00,7945.00,.00,0.00,
23-04-2024,22-04-2024,6393,66393,"WALLET PAYTM","Not Matched",AXNPM11401992017,45104.85,44975.43,.00,-129.42,"Stores: 2556,6200,6386,6393"
23-04-2024,22-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM11498688717,999.00,999.00,.00,0.00,
23-04-2024,22-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41140830268,104647.28,104647.29,.00,0.01,"Stores: 1043,1266,1615,1817,2447,3430,3436,9403,9585"
23-04-2024,22-04-2024,9712,59712,"WALLET PHONEPAY",Matched,YESPH41141806175,51027.00,51027.00,.00,0.00,"Stores: 9421,9701,9704,9712"
23-04-2024,22-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH41141804932,1090220.50,1090220.49,.00,-0.01,"Stores: 1404,1493,2577,2591,2598,2614,2724,2772,2805,3616,3618,3662,3669,3673,3678,3689,3696,3697,3809,3810,3812,3821,3825,3843,3845,3852,3858,3876,3888,3891,3895,3900,3901,3902,3903,3904,3905,3910,3917,3918,3922,3924,3927,3931,3935,3938,3961,3962,3963,3978,3980,3982,3983,3985,3986,3987,3992,3994,5476,5585,5619,5682,5683,5741,5760,5786,5843,6044,6053,6054,6056,6076,6078,6091,6092,6096,6101,6110,6112,6121,6130,6134,6158,6160,6173,6187,6188,6190,6200,6208,6214,6223,6225,6227,6229,6243,6257,6269,6274,6282,6283,6284,6286,6334,6344,6352,6357,6364,6366,6369,6371,6373,6384,6387,6388,6389,6392,6395,6423,6536,6542,6543,6553,6555,6556,6563,6570,6571,6575,6594,6624,6628,6632,6643,6656,6662,6675,6689,6722,6726,6731,6741,6742,6743,6747,6816,6842,6900,6936,7019,7041,7054,7055,7212,7255,7265,7266,7517,7522,7542,7563,7574,7607,7711,7714,7760,7763,7771,7802,7829,7852,7859,7872,7876,7880,7912,9448,9454,9455,9771,9772,9792,9800,9823,9872"
